response_id,age_group,gender,city_tier,primary_hair_concern,hairfall_severity,current_brand,satisfaction_score,willingness_to_pay_inr,purchase_frequency,ingredient_preference,feedback_text
RESP_0176,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Dove,9,399,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0177,35-44,Female,Tier 2,Hairfall,Moderate (Clumps),Generic/Ayurvedic,9,399,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0178,45-54,Male,Tier 2,Hairfall,Moderate (Clumps),Generic/Ayurvedic,6,999,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0179,25-34,Female,Tier 3,Oily Scalp,Moderate (Clumps),Tresemme,9,699,Bi-Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0180,55+,Female,Tier 3,Dandruff,Moderate (Clumps),Pantene,1,699,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0181,55+,Female,Tier 2,Hairfall,Moderate (Clumps),Dove,2,699,Quarterly,No Preference,Just marketing gimmicks.
RESP_0182,35-44,Male,Tier 1,Hairfall,Mild (Seasonal),Dove,7,499,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0183,18-24,Male,Tier 1,Hairfall,Moderate (Clumps),Generic/Ayurvedic,8,499,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0184,18-24,Male,Tier 2,Hairfall,Severe (Visible Thinning),Dove,10,699,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0185,45-54,Male,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,4,250,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0186,55+,Male,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,10,499,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0187,25-34,Female,Tier 2,Frizz,Severe (Visible Thinning),Generic/Ayurvedic,9,399,Quarterly,No Preference,I need a solution for post-partum hair loss.
RESP_0188,25-34,Female,Tier 3,Dryness,Mild (Seasonal),Generic/Ayurvedic,4,399,Bi-Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0189,18-24,Female,Tier 1,Dandruff,Severe (Visible Thinning),Head & Shoulders,3,699,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0190,45-54,Female,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,1,699,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0191,25-34,Male,Tier 2,Hairfall,Severe (Visible Thinning),Mamaearth,6,499,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0192,18-24,Female,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,5,399,Bi-Monthly,No Preference,I need a solution for post-partum hair loss.
RESP_0193,35-44,Female,Tier 2,Hairfall,Moderate (Clumps),Head & Shoulders,3,699,Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0194,35-44,Male,Tier 1,Hairfall,Mild (Seasonal),Tresemme,1,699,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0195,18-24,Male,Tier 1,Frizz,Mild (Seasonal),Generic/Ayurvedic,3,699,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0196,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Dove,3,699,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0197,18-24,Female,Tier 1,Hairfall,Moderate (Clumps),Tresemme,4,999,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0198,45-54,Male,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,6,699,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0199,25-34,Female,Tier 1,Oily Scalp,Mild (Seasonal),Pantene,3,699,Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0200,45-54,Male,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,8,250,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0201,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,3,699,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0202,25-34,Male,Tier 3,Hairfall,Mild (Seasonal),Tresemme,1,699,Monthly,No Preference,Too expensive for daily use.
RESP_0203,25-34,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,6,399,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0204,35-44,Male,Tier 2,Dryness,Severe (Visible Thinning),Tresemme,6,399,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0205,25-34,Female,Tier 3,Hairfall,Mild (Seasonal),Tresemme,10,250,Bi-Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0206,18-24,Female,Tier 1,Dandruff,Mild (Seasonal),Head & Shoulders,5,499,Quarterly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0207,45-54,Female,Tier 1,Hairfall,Moderate (Clumps),Pantene,4,150,Monthly,No Preference,Too expensive for daily use.
RESP_0208,45-54,Female,Tier 2,Hairfall,Mild (Seasonal),Head & Shoulders,3,699,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0209,18-24,Male,Tier 1,Dryness,Severe (Visible Thinning),Dove,6,499,Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0210,45-54,Female,Tier 3,Hairfall,Moderate (Clumps),Generic/Ayurvedic,10,150,Bi-Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0211,35-44,Female,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,7,399,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0212,45-54,Female,Tier 2,Dandruff,Severe (Visible Thinning),Tresemme,9,499,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0213,18-24,Female,Tier 1,Dandruff,Mild (Seasonal),Mamaearth,10,399,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0214,25-34,Female,Tier 2,Dryness,Mild (Seasonal),Dove,10,250,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0215,55+,Female,Tier 2,Hairfall,Moderate (Clumps),Generic/Ayurvedic,3,699,Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0216,25-34,Male,Tier 1,Hairfall,Mild (Seasonal),Dove,9,399,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0217,18-24,Female,Tier 2,Hairfall,Mild (Seasonal),Mamaearth,7,699,Quarterly,No Preference,I need a solution for post-partum hair loss.
RESP_0218,55+,Female,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,6,499,Quarterly,Chemical/Scientific,Too expensive for daily use.
RESP_0219,35-44,Male,Tier 2,Hairfall,Severe (Visible Thinning),Tresemme,8,150,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0220,25-34,Female,Tier 3,Dandruff,Severe (Visible Thinning),Tresemme,5,250,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0221,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Tresemme,4,399,Bi-Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0222,45-54,Female,Tier 2,Hairfall,Mild (Seasonal),Tresemme,9,399,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0223,18-24,Female,Tier 3,Hairfall,Severe (Visible Thinning),Tresemme,2,699,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0224,18-24,Female,Tier 2,Dandruff,Severe (Visible Thinning),Pantene,4,999,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0225,18-24,Female,Tier 2,Hairfall,Severe (Visible Thinning),Tresemme,7,499,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0226,25-34,Female,Tier 1,Frizz,Mild (Seasonal),Pantene,3,699,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0227,35-44,Male,Tier 3,Hairfall,Mild (Seasonal),Dove,4,399,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0228,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Pantene,5,399,Monthly,No Preference,Good but causes dandruff.
RESP_0229,35-44,Female,Tier 3,Hairfall,Severe (Visible Thinning),Dove,7,399,Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0230,18-24,Male,Tier 1,Frizz,Moderate (Clumps),Pantene,6,699,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0231,25-34,Female,Tier 1,Dryness,Moderate (Clumps),Pantene,1,699,Bi-Monthly,No Preference,Just marketing gimmicks.
RESP_0232,35-44,Male,Tier 2,Oily Scalp,Mild (Seasonal),Generic/Ayurvedic,9,250,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0233,35-44,Female,Tier 1,Frizz,Mild (Seasonal),Head & Shoulders,1,699,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0234,18-24,Female,Tier 1,Hairfall,Moderate (Clumps),Mamaearth,3,699,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0235,25-34,Male,Tier 1,Oily Scalp,Mild (Seasonal),Pantene,7,499,Quarterly,Chemical/Scientific,Nothing works on my scalp.
RESP_0236,45-54,Male,Tier 2,Hairfall,Moderate (Clumps),Mamaearth,5,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0237,35-44,Female,Tier 3,Hairfall,Mild (Seasonal),Tresemme,8,399,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0238,35-44,Female,Tier 1,Hairfall,Severe (Visible Thinning),Tresemme,8,250,Quarterly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0239,45-54,Male,Tier 2,Hairfall,Mild (Seasonal),Dove,1,699,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0240,25-34,Male,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,1,699,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0241,45-54,Female,Tier 2,Hairfall,Mild (Seasonal),Pantene,8,150,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0242,35-44,Female,Tier 2,Hairfall,Severe (Visible Thinning),Mamaearth,3,699,Quarterly,Chemical/Scientific,I prefer natural smell.
RESP_0243,25-34,Female,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,8,250,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0244,18-24,Female,Tier 1,Oily Scalp,Mild (Seasonal),Dove,7,399,Quarterly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0245,18-24,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,4,999,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0246,45-54,Male,Tier 1,Dryness,Severe (Visible Thinning),Mamaearth,3,699,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0247,35-44,Female,Tier 1,Hairfall,Severe (Visible Thinning),Pantene,1,699,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0248,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,5,499,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0249,18-24,Female,Tier 1,Hairfall,Moderate (Clumps),Dove,5,399,Monthly,No Preference,I want something that actually stops hairfall.
RESP_0250,25-34,Male,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,4,499,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0251,25-34,Female,Tier 1,Dryness,Severe (Visible Thinning),Head & Shoulders,4,399,Bi-Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0252,25-34,Male,Tier 2,Hairfall,Mild (Seasonal),Tresemme,10,250,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0253,18-24,Female,Tier 1,Hairfall,Mild (Seasonal),Pantene,2,699,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0254,35-44,Female,Tier 2,Hairfall,Mild (Seasonal),Generic/Ayurvedic,4,699,Bi-Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0255,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Pantene,10,250,Quarterly,Chemical/Scientific,I prefer natural smell.
RESP_0256,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Dove,10,499,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0257,35-44,Female,Tier 3,Dryness,Mild (Seasonal),Tresemme,6,699,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0258,45-54,Male,Tier 1,Hairfall,Mild (Seasonal),Tresemme,10,399,Quarterly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0259,25-34,Female,Tier 3,Hairfall,Moderate (Clumps),Head & Shoulders,1,699,Quarterly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0260,25-34,Female,Tier 3,Frizz,Mild (Seasonal),Pantene,3,699,Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0261,25-34,Female,Tier 1,Hairfall,Severe (Visible Thinning),Dove,8,250,Bi-Monthly,No Preference,Nothing works on my scalp.
RESP_0262,25-34,Male,Tier 2,Hairfall,Severe (Visible Thinning),Pantene,1,699,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0263,35-44,Male,Tier 2,Hairfall,Severe (Visible Thinning),Mamaearth,4,250,Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0264,35-44,Female,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,5,150,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0265,18-24,Male,Tier 1,Hairfall,Moderate (Clumps),Tresemme,2,699,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0266,25-34,Female,Tier 1,Hairfall,Moderate (Clumps),Pantene,5,699,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0267,35-44,Female,Tier 2,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,4,999,Bi-Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0268,45-54,Female,Tier 1,Dandruff,Mild (Seasonal),Generic/Ayurvedic,6,999,Monthly,No Preference,Made my hair dry but stopped fall.
RESP_0269,25-34,Female,Tier 3,Hairfall,Mild (Seasonal),Head & Shoulders,2,699,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0270,35-44,Female,Tier 2,Dandruff,Mild (Seasonal),Mamaearth,2,699,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0271,18-24,Female,Tier 3,Dandruff,Mild (Seasonal),Tresemme,8,399,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0272,25-34,Male,Tier 1,Dandruff,Mild (Seasonal),Tresemme,8,699,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0273,45-54,Male,Tier 1,Hairfall,Severe (Visible Thinning),Mamaearth,2,699,Bi-Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0274,18-24,Female,Tier 1,Dryness,Moderate (Clumps),Tresemme,3,699,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0275,45-54,Male,Tier 2,Hairfall,Moderate (Clumps),Generic/Ayurvedic,2,699,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0276,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,7,699,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0277,55+,Male,Tier 2,Hairfall,Severe (Visible Thinning),Pantene,2,699,Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0278,18-24,Female,Tier 2,Hairfall,Mild (Seasonal),Pantene,1,699,Quarterly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0279,55+,Male,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,8,699,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0280,55+,Male,Tier 1,Hairfall,Severe (Visible Thinning),Head & Shoulders,6,399,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0281,35-44,Female,Tier 1,Dandruff,Severe (Visible Thinning),Head & Shoulders,4,399,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0282,45-54,Male,Tier 1,Dandruff,Severe (Visible Thinning),Head & Shoulders,7,399,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0283,25-34,Female,Tier 3,Hairfall,Severe (Visible Thinning),Tresemme,10,250,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0284,25-34,Male,Tier 2,Dandruff,Mild (Seasonal),Tresemme,1,699,Bi-Monthly,Chemical/Scientific,Just marketing gimmicks.
RESP_0285,35-44,Female,Tier 1,Dandruff,Mild (Seasonal),Head & Shoulders,8,399,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0286,35-44,Female,Tier 1,Hairfall,Severe (Visible Thinning),Tresemme,3,699,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0287,18-24,Female,Tier 3,Hairfall,Mild (Seasonal),Generic/Ayurvedic,5,399,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0288,45-54,Male,Tier 3,Oily Scalp,Moderate (Clumps),Generic/Ayurvedic,4,499,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0289,45-54,Female,Tier 3,Hairfall,Moderate (Clumps),Head & Shoulders,5,399,Bi-Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0290,25-34,Male,Tier 3,Oily Scalp,Mild (Seasonal),Mamaearth,9,499,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0291,18-24,Other,Tier 3,Hairfall,Severe (Visible Thinning),Pantene,10,399,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0292,25-34,Female,Tier 3,Hairfall,Mild (Seasonal),Generic/Ayurvedic,3,699,Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0293,18-24,Male,Tier 3,Hairfall,Moderate (Clumps),Generic/Ayurvedic,6,499,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0294,35-44,Male,Tier 1,Oily Scalp,Mild (Seasonal),Head & Shoulders,8,499,Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0295,35-44,Male,Tier 2,Dryness,Severe (Visible Thinning),Generic/Ayurvedic,4,150,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0296,25-34,Male,Tier 3,Dryness,Severe (Visible Thinning),Dove,7,399,Bi-Monthly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0297,25-34,Female,Tier 2,Hairfall,Severe (Visible Thinning),Dove,3,699,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0298,55+,Female,Tier 1,Hairfall,Moderate (Clumps),Mamaearth,9,250,Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0299,25-34,Male,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,6,399,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0300,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Pantene,7,399,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
RESP_0301,25-34,Female,Tier 1,Frizz,Moderate (Clumps),Generic/Ayurvedic,1,699,Bi-Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0302,35-44,Female,Tier 1,Dandruff,Mild (Seasonal),Mamaearth,10,699,Quarterly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0303,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Mamaearth,2,699,Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0304,45-54,Female,Tier 1,Hairfall,Severe (Visible Thinning),Mamaearth,5,399,Monthly,No Preference,I prefer natural smell.
RESP_0305,45-54,Female,Tier 2,Hairfall,Mild (Seasonal),Mamaearth,1,699,Quarterly,No Preference,Nothing works on my scalp.
RESP_0306,35-44,Female,Tier 1,Oily Scalp,Moderate (Clumps),Head & Shoulders,8,250,Bi-Monthly,No Preference,Too expensive for daily use.
RESP_0307,18-24,Male,Tier 3,Oily Scalp,Moderate (Clumps),Mamaearth,3,699,Monthly,Chemical/Scientific,Too expensive for daily use.
RESP_0308,18-24,Female,Tier 2,Dandruff,Moderate (Clumps),Head & Shoulders,7,699,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0309,18-24,Male,Tier 1,Hairfall,Moderate (Clumps),Generic/Ayurvedic,1,699,Bi-Monthly,Chemical/Scientific,I need a solution for post-partum hair loss.
RESP_0310,18-24,Male,Tier 3,Hairfall,Severe (Visible Thinning),Head & Shoulders,5,699,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0311,35-44,Female,Tier 3,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,9,699,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0312,45-54,Male,Tier 1,Hairfall,Severe (Visible Thinning),Dove,8,399,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0313,25-34,Female,Tier 1,Frizz,Moderate (Clumps),Mamaearth,2,699,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0314,18-24,Male,Tier 1,Dandruff,Mild (Seasonal),Dove,7,499,Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0315,25-34,Male,Tier 3,Dryness,Mild (Seasonal),Head & Shoulders,3,699,Quarterly,No Preference,I prefer natural smell.
RESP_0316,35-44,Female,Tier 1,Oily Scalp,Severe (Visible Thinning),Generic/Ayurvedic,4,699,Bi-Monthly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0317,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Dove,2,699,Monthly,Chemical/Scientific,Made my hair dry but stopped fall.
RESP_0318,35-44,Other,Tier 1,Hairfall,Mild (Seasonal),Tresemme,5,399,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0319,45-54,Female,Tier 1,Hairfall,Mild (Seasonal),Head & Shoulders,4,499,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0320,35-44,Male,Tier 2,Oily Scalp,Moderate (Clumps),Head & Shoulders,10,399,Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0321,25-34,Female,Tier 1,Oily Scalp,Moderate (Clumps),Head & Shoulders,8,399,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0322,55+,Male,Tier 1,Dandruff,Severe (Visible Thinning),Head & Shoulders,10,399,Bi-Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0323,25-34,Male,Tier 2,Frizz,Severe (Visible Thinning),Pantene,2,699,Quarterly,Ayurvedic/Herbal,I need a solution for post-partum hair loss.
RESP_0324,18-24,Male,Tier 1,Hairfall,Mild (Seasonal),Generic/Ayurvedic,10,399,Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0325,18-24,Female,Tier 2,Frizz,Moderate (Clumps),Dove,4,250,Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0326,45-54,Female,Tier 3,Frizz,Mild (Seasonal),Head & Shoulders,7,250,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0327,25-34,Female,Tier 3,Hairfall,Mild (Seasonal),Dove,7,250,Monthly,No Preference,Just marketing gimmicks.
RESP_0328,25-34,Female,Tier 2,Hairfall,Severe (Visible Thinning),Mamaearth,2,699,Monthly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0329,18-24,Male,Tier 1,Hairfall,Moderate (Clumps),Generic/Ayurvedic,2,699,Bi-Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0330,25-34,Female,Tier 3,Hairfall,Moderate (Clumps),Head & Shoulders,10,399,Monthly,No Preference,I want something that actually stops hairfall.
RESP_0331,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,3,699,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0332,18-24,Other,Tier 1,Frizz,Mild (Seasonal),Dove,4,250,Quarterly,No Preference,I want something that actually stops hairfall.
RESP_0333,35-44,Female,Tier 2,Dandruff,Severe (Visible Thinning),Tresemme,4,399,Monthly,Ayurvedic/Herbal,Too expensive for daily use.
RESP_0334,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Dove,6,150,Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0335,18-24,Male,Tier 2,Frizz,Mild (Seasonal),Pantene,3,699,Quarterly,Chemical/Scientific,Good but causes dandruff.
RESP_0336,45-54,Male,Tier 2,Hairfall,Severe (Visible Thinning),Mamaearth,7,699,Monthly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0337,35-44,Female,Tier 2,Hairfall,Moderate (Clumps),Dove,3,699,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0338,25-34,Female,Tier 3,Hairfall,Moderate (Clumps),Mamaearth,2,699,Monthly,No Preference,Too expensive for daily use.
RESP_0339,45-54,Female,Tier 1,Hairfall,Moderate (Clumps),Head & Shoulders,7,699,Bi-Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0340,45-54,Female,Tier 2,Hairfall,Severe (Visible Thinning),Mamaearth,3,699,Bi-Monthly,Chemical/Scientific,I prefer natural smell.
RESP_0341,18-24,Female,Tier 1,Hairfall,Severe (Visible Thinning),Tresemme,10,699,Bi-Monthly,Ayurvedic/Herbal,Nothing works on my scalp.
RESP_0342,45-54,Male,Tier 1,Hairfall,Severe (Visible Thinning),Pantene,3,699,Quarterly,Ayurvedic/Herbal,I prefer natural smell.
RESP_0343,25-34,Male,Tier 3,Hairfall,Mild (Seasonal),Mamaearth,9,399,Bi-Monthly,Chemical/Scientific,I want something that actually stops hairfall.
RESP_0344,35-44,Male,Tier 2,Hairfall,Severe (Visible Thinning),Generic/Ayurvedic,7,699,Monthly,Ayurvedic/Herbal,Good but causes dandruff.
RESP_0345,25-34,Male,Tier 1,Dandruff,Mild (Seasonal),Mamaearth,6,250,Monthly,Chemical/Scientific,Nothing works on my scalp.
RESP_0346,18-24,Female,Tier 2,Hairfall,Mild (Seasonal),Dove,5,699,Monthly,No Preference,Nothing works on my scalp.
RESP_0347,25-34,Female,Tier 2,Dandruff,Moderate (Clumps),Pantene,7,250,Quarterly,Ayurvedic/Herbal,Made my hair dry but stopped fall.
RESP_0348,55+,Female,Tier 2,Oily Scalp,Severe (Visible Thinning),Pantene,7,150,Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0349,25-34,Female,Tier 3,Hairfall,Severe (Visible Thinning),Tresemme,8,399,Bi-Monthly,Ayurvedic/Herbal,Just marketing gimmicks.
RESP_0350,25-34,Male,Tier 1,Dryness,Mild (Seasonal),Mamaearth,5,250,Bi-Monthly,No Preference,Made my hair dry but stopped fall.
RESP_0351,25-34,Female,Tier 2,Hairfall,Mild (Seasonal),Dove,6,399,Quarterly,Ayurvedic/Herbal,I want something that actually stops hairfall.
RESP_0352,25-34,Female,Tier 1,Hairfall,Mild (Seasonal),Pantene,9,399,Bi-Monthly,Chemical/Scientific,Good but causes dandruff.
